origin_lat,origin_lng,dest_lat,dest_lng,dist
31.904613,118.662111,31.935161,118.661801,8191.0
32.10899026044364,118.75623976679287,32.08096,118.74488,5309.0
32.08514,118.88896,32.0907,118.91156,3503.0
31.9445,118.66492,31.919077,118.665846,5057.0
32.0737,118.74044,32.09067,118.7865,8641.0
31.92611,118.66419,31.90879,118.66202,4862.0
32.09726,118.9053,32.109211,118.755548,19742.0
31.971167,118.794664,31.947759,118.665935,16954.0
31.933506,118.652318,31.968751,118.798039,18993.0
32.08331,118.77772,32.093685,118.865124,9819.0
31.920007,118.661258,31.935364,118.643394,3413.0
32.0465,118.73806,32.057731,118.784361,6117.0
32.025251,118.782876,32.049451,118.791797,3535.0
32.0637,118.65416,32.040557,118.723093,9227.0
32.041934,118.779801,32.049109,118.783922,1592.0
31.94415,118.66549,31.938262,118.644788,3191.0
32.05192530947643,118.73093580737928,32.098534,118.885736,19171.0
32.08622,118.74106,32.040135,118.776431,8088.0
32.116372,118.719395,31.945211,118.75122,30495.0
31.99263,118.7773,31.970325,118.740159,7060.0
31.94291,118.74201,31.96234,118.735266,3726.0
32.030661,118.706068,31.967084,118.799208,16340.0
31.981019,118.793291,32.041406,118.78117,9873.0
31.993697,118.793077,32.031561,118.703249,12727.0
31.96682,118.71868,31.9889,118.71298,3266.0
32.037532,118.785853,32.038503,118.749052,4550.0
31.96588,118.802163,32.009767,118.789088,8116.0
32.037864,118.753504,31.954214,118.732552,13070.0
32.019138,118.797476,31.967084,118.799208,8062.0
31.98441,118.71995,31.9942,118.7751,7464.0
31.93529,118.81802,31.916357,118.790903,4750.0
31.971862,118.761644,31.945501,118.815953,9469.0
31.98621,118.7148,31.996381538995067,118.7210448699069,1493.0
31.993548,118.719381,31.970797,118.714302,3309.0
31.979742,118.712336,31.971052,118.792991,9601.0
32.0414547826245,118.77997865727308,32.040186,118.797716,2006.0
32.12336,118.84218,32.10316,118.80976,4912.0
32.126462,118.894496,32.141766,118.885644,3237.0
32.06734,118.77484,31.989266,118.71965,19193.0
32.12989,118.83526,32.15907,118.88823,8618.0
31.992849,118.709519,32.008876,118.687886,5964.0
32.09976,118.81306,32.071164,118.769564,7716.0
31.990417,118.709657,31.967084,118.799208,11848.0
31.94711,118.81692,32.018354,118.749184,12955.0
32.071323,118.777144,32.122957,118.891378,16854.0
31.966782,118.801586,32.150761,119.008991,36611.0
32.11559,118.85655,32.072564,118.776841,14383.0
32.11843,118.87097,32.13502,118.87623,2861.0
32.125465,118.887301,32.138294,118.899094,2731.0
32.14803,118.99601,32.117385,118.986278,5201.0
